case_id,environment,tier,level,level_name,behavior,pair_id,needs_ambient_context,adversarial_type,experiment,profile,tool_size,gold_position,model,contract,tool_selection_exact,full_call_exact,sequence_success,arg_exact_match,arg_precision,arg_recall,arg_f1,e2e_success,expected_action,took_action,decision_correct,false_action,missed_action,destructive_action,abstained,asked_clarification,gold_tool_offered,n_expected_calls,n_actual_calls,n_tools_offered,confidence,latency_ms,peak_ram_mb,error,failure_types
workspace.D5.05,workspace,2,5,dependent,multiple_tool_calls,,False,,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.25,0.3333333333333333,0.28571428571428575,False,True,True,True,False,False,False,False,False,True,2,5,12,0.9162,1323.2479000007515,131.8,,extra_tool|wrong_argument
workspace.D5.05,workspace,2,5,dependent,multiple_tool_calls,,False,,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.25,0.3333333333333333,0.28571428571428575,False,True,True,True,False,False,False,False,False,True,2,5,12,0.9162,1323.2479000007515,131.8,,extra_tool|wrong_argument
workspace.D5.06,workspace,2,5,dependent,multiple_tool_calls,,False,,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,False,True,False,False,False,True,False,True,False,True,2,0,12,0.8039,889.5961999996871,131.8,,missing_tool|gated_by_contract
business_ops.D0.02,business_ops,3,0,direct,tool_call,,False,,profile,baseline,20,natural,needle3,raw,True,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,1,1,20,0.96,434.1993999996703,135.2,,wrong_argument
business_ops.D0.02,business_ops,3,0,direct,tool_call,,False,,profile,baseline,20,natural,needle3,production@0.4,True,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,1,1,20,0.96,434.1993999996703,135.2,,wrong_argument
business_ops.D1.01,business_ops,3,1,paraphrase,tool_call,,False,,profile,baseline,20,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,1,1,20,1.0,446.06779999958235,135.3,,missing_tool|wrong_tool
business_ops.D1.01,business_ops,3,1,paraphrase,tool_call,,False,,profile,baseline,20,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,1,1,20,1.0,446.06779999958235,135.3,,missing_tool|wrong_tool
business_ops.D1.03,business_ops,3,1,paraphrase,tool_call,,False,,profile,baseline,20,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,1,1,20,0.9838,386.96689999960654,135.3,,missing_tool|wrong_tool
business_ops.D1.03,business_ops,3,1,paraphrase,tool_call,,False,,profile,baseline,20,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,1,1,20,0.9838,386.96689999960654,135.3,,missing_tool|wrong_tool
business_ops.D1.04,business_ops,3,1,paraphrase,tool_call,,False,,profile,baseline,20,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,False,True,True,True,False,False,False,False,False,True,1,4,20,0.826,1001.0026999998445,135.3,,missing_tool|wrong_tool
business_ops.D1.04,business_ops,3,1,paraphrase,tool_call,,False,,profile,baseline,20,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,False,True,True,True,False,False,False,False,False,True,1,4,20,0.826,1001.0026999998445,135.3,,missing_tool|wrong_tool
business_ops.D1.06,business_ops,3,1,paraphrase,tool_call,,False,,profile,baseline,20,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,1,2,20,1.0,603.5547999999835,135.6,,missing_tool|wrong_tool
business_ops.D1.06,business_ops,3,1,paraphrase,tool_call,,False,,profile,baseline,20,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,1,2,20,1.0,603.5547999999835,135.6,,missing_tool|wrong_tool
business_ops.D2.01,business_ops,3,2,distraction,tool_call,,False,negation,profile,baseline,20,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,True,False,True,1,0,20,1.0,271.47469999999885,135.6,,
business_ops.D2.01,business_ops,3,2,distraction,tool_call,,False,negation,profile,baseline,20,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,True,False,True,1,0,20,1.0,271.47469999999885,135.6,,
business_ops.D2.02,business_ops,3,2,distraction,tool_call,,False,negation,profile,baseline,20,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,False,False,True,False,True,False,True,False,False,True,1,1,20,0.9815,424.63279999992665,135.6,,failed_condition|missing_tool|wrong_tool|failed_negation
business_ops.D2.02,business_ops,3,2,distraction,tool_call,,False,negation,profile,baseline,20,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,True,False,True,1,0,20,0.9815,424.63279999992665,135.6,,
